animal,day,trialA,trialB,contextA,contextB,comparison,FIisCoherent,FI_rot1,FI_rot2,FI_rot3,FI_rot4,FSisCoherent,FS_rot1,FS_rot2,FS_rot3,FS_rot4
CMG129_CA1, 1, 5, 6, 1, 2, across, 1, 0.547, 0.188, 0.135, 0.129, 0, 0.318, 0.318, 0.182, 0.182
CMG129_CA1, 1, 5, 7, 1, 1, within, 1, 0.425, 0.234, 0.186, 0.156, 1, 0.500, 0.227, 0.136, 0.136
CMG129_CA1, 1, 5, 8, 1, 2, across, 1, 0.349, 0.243, 0.225, 0.183, 1, 0.455, 0.273, 0.227, 0.045
CMG129_CA1, 1, 5, 9, 1, 1, within, 1, 0.327, 0.289, 0.220, 0.164, 0, 0.471, 0.235, 0.176, 0.118
CMG129_CA1, 1, 5, 10, 1, 2, across, 1, 0.288, 0.282, 0.259, 0.171, 0, 0.273, 0.273, 0.273, 0.182
CMG129_CA1, 1, 5, 11, 1, 1, within, 1, 0.361, 0.266, 0.243, 0.130, 1, 0.455, 0.318, 0.136, 0.091
CMG129_CA1, 1, 5, 12, 1, 2, across, 1, 0.339, 0.286, 0.232, 0.143, 0, 0.286, 0.238, 0.238, 0.238
CMG129_CA1, 1, 6, 7, 2, 1, across, 1, 0.431, 0.240, 0.180, 0.150, 0, 0.381, 0.286, 0.238, 0.095
CMG129_CA1, 1, 6, 8, 2, 2, within, 1, 0.337, 0.254, 0.243, 0.166, 0, 0.381, 0.381, 0.143, 0.095
CMG129_CA1, 1, 6, 9, 2, 1, across, 1, 0.321, 0.270, 0.226, 0.182, 0, 0.438, 0.250, 0.188, 0.125
CMG129_CA1, 1, 6, 10, 2, 2, within, 0, 0.282, 0.271, 0.229, 0.218, 0, 0.333, 0.333, 0.190, 0.143
CMG129_CA1, 1, 6, 11, 2, 1, across, 0, 0.296, 0.278, 0.219, 0.207, 0, 0.381, 0.238, 0.238, 0.143
CMG129_CA1, 1, 6, 12, 2, 2, within, 1, 0.327, 0.268, 0.220, 0.185, 0, 0.350, 0.250, 0.200, 0.200
CMG129_CA1, 1, 7, 8, 1, 2, across, 1, 0.398, 0.223, 0.217, 0.163, 1, 0.476, 0.238, 0.190, 0.095
CMG129_CA1, 1, 7, 9, 1, 1, within, 0, 0.308, 0.282, 0.212, 0.199, 1, 0.562, 0.250, 0.125, 0.062
CMG129_CA1, 1, 7, 10, 1, 2, across, 0, 0.281, 0.275, 0.251, 0.192, 1, 0.476, 0.286, 0.143, 0.095
CMG129_CA1, 1, 7, 11, 1, 1, within, 0, 0.313, 0.259, 0.241, 0.187, 1, 0.429, 0.333, 0.190, 0.048
CMG129_CA1, 1, 7, 12, 1, 2, across, 1, 0.297, 0.279, 0.267, 0.158, 0, 0.286, 0.286, 0.238, 0.190
CMG129_CA1, 1, 8, 9, 2, 1, across, 1, 0.291, 0.285, 0.266, 0.158, 1, 0.438, 0.375, 0.125, 0.062
CMG129_CA1, 1, 8, 10, 2, 2, within, 1, 0.391, 0.237, 0.189, 0.183, 0, 0.333, 0.286, 0.238, 0.143
CMG129_CA1, 1, 8, 11, 2, 1, across, 0, 0.304, 0.256, 0.220, 0.220, 0, 0.381, 0.333, 0.143, 0.143
CMG129_CA1, 1, 8, 12, 2, 2, within, 1, 0.329, 0.275, 0.228, 0.168, 0, 0.400, 0.350, 0.150, 0.100
CMG129_CA1, 1, 9, 10, 1, 2, across, 1, 0.321, 0.302, 0.220, 0.157, 0, 0.294, 0.294, 0.235, 0.176
CMG129_CA1, 1, 9, 11, 1, 1, within, 1, 0.327, 0.277, 0.239, 0.157, 0, 0.412, 0.235, 0.176, 0.176
CMG129_CA1, 1, 9, 12, 1, 2, across, 1, 0.465, 0.220, 0.208, 0.107, 1, 0.562, 0.188, 0.188, 0.062
CMG129_CA1, 1, 10, 11, 2, 1, across, 1, 0.331, 0.237, 0.225, 0.207, 0, 0.409, 0.273, 0.182, 0.136
CMG129_CA1, 1, 10, 12, 2, 2, within, 1, 0.327, 0.315, 0.190, 0.167, 0, 0.429, 0.286, 0.143, 0.143
CMG129_CA1, 1, 11, 12, 1, 2, across, 1, 0.381, 0.345, 0.155, 0.119, 0, 0.333, 0.286, 0.190, 0.190
CMG129_CA1, 2, 5, 6, 1, 2, across, 1, 0.333, 0.321, 0.176, 0.170, 0, 0.500, 0.300, 0.100, 0.100
CMG129_CA1, 2, 5, 7, 1, 1, within, 0, 0.289, 0.270, 0.258, 0.182, 0, 0.400, 0.300, 0.200, 0.100
CMG129_CA1, 2, 5, 8, 1, 2, across, 1, 0.377, 0.220, 0.201, 0.201, 0, 0.455, 0.273, 0.273, 0.000
CMG129_CA1, 2, 5, 9, 1, 1, within, 1, 0.377, 0.252, 0.201, 0.170, 0, 0.545, 0.182, 0.182, 0.091
CMG129_CA1, 2, 5, 10, 1, 2, across, 1, 0.354, 0.329, 0.190, 0.127, 0, 0.500, 0.300, 0.100, 0.100
CMG129_CA1, 2, 5, 11, 1, 1, within, 1, 0.346, 0.321, 0.167, 0.167, 0, 0.400, 0.400, 0.200, 0.000
CMG129_CA1, 2, 5, 12, 1, 2, across, 0, 0.284, 0.252, 0.239, 0.226, 0, 0.400, 0.400, 0.200, 0.000
CMG129_CA1, 2, 6, 7, 2, 1, across, 1, 0.384, 0.245, 0.201, 0.170, 0, 0.333, 0.333, 0.222, 0.111
CMG129_CA1, 2, 6, 8, 2, 2, within, 1, 0.424, 0.304, 0.165, 0.108, 0, 0.400, 0.300, 0.200, 0.100
CMG129_CA1, 2, 6, 9, 2, 1, across, 1, 0.437, 0.203, 0.190, 0.171, 0, 0.400, 0.300, 0.200, 0.100
CMG129_CA1, 2, 6, 10, 2, 2, within, 1, 0.318, 0.293, 0.223, 0.166, 0, 0.556, 0.222, 0.222, 0.000
CMG129_CA1, 2, 6, 11, 2, 1, across, 1, 0.335, 0.303, 0.239, 0.123, 0, 0.444, 0.333, 0.111, 0.111
CMG129_CA1, 2, 6, 12, 2, 2, within, 1, 0.318, 0.279, 0.260, 0.143, 0, 0.444, 0.333, 0.222, 0.000
CMG129_CA1, 2, 7, 8, 1, 2, across, 1, 0.468, 0.215, 0.165, 0.152, 0, 0.400, 0.300, 0.300, 0.000
CMG129_CA1, 2, 7, 9, 1, 1, within, 1, 0.310, 0.291, 0.241, 0.158, 0, 0.400, 0.400, 0.100, 0.100
CMG129_CA1, 2, 7, 10, 1, 2, across, 1, 0.325, 0.248, 0.248, 0.178, 0, 0.300, 0.300, 0.300, 0.100
CMG129_CA1, 2, 7, 11, 1, 1, within, 1, 0.394, 0.277, 0.200, 0.129, 0, 0.400, 0.300, 0.200, 0.100
CMG129_CA1, 2, 7, 12, 1, 2, across, 0, 0.299, 0.260, 0.234, 0.208, 0, 0.500, 0.300, 0.200, 0.000
CMG129_CA1, 2, 8, 9, 2, 1, across, 1, 0.333, 0.302, 0.233, 0.132, 1, 0.636, 0.273, 0.091, 0.000
CMG129_CA1, 2, 8, 10, 2, 2, within, 1, 0.430, 0.310, 0.139, 0.120, 0, 0.500, 0.200, 0.200, 0.100
CMG129_CA1, 2, 8, 11, 2, 1, across, 1, 0.641, 0.154, 0.141, 0.064, 0, 0.500, 0.200, 0.200, 0.100
CMG129_CA1, 2, 8, 12, 2, 2, within, 1, 0.374, 0.245, 0.232, 0.148, 0, 0.500, 0.200, 0.200, 0.100
CMG129_CA1, 2, 9, 10, 1, 2, across, 1, 0.373, 0.259, 0.228, 0.139, 0, 0.500, 0.300, 0.100, 0.100
CMG129_CA1, 2, 9, 11, 1, 1, within, 1, 0.340, 0.333, 0.212, 0.115, 0, 0.400, 0.300, 0.200, 0.100
CMG129_CA1, 2, 9, 12, 1, 2, across, 1, 0.342, 0.265, 0.258, 0.135, 1, 0.500, 0.400, 0.100, 0.000
CMG129_CA1, 2, 10, 11, 2, 1, across, 1, 0.458, 0.226, 0.161, 0.155, 0, 0.500, 0.300, 0.100, 0.100
CMG129_CA1, 2, 10, 12, 2, 2, within, 1, 0.370, 0.260, 0.214, 0.156, 0, 0.400, 0.300, 0.200, 0.100
CMG129_CA1, 2, 11, 12, 1, 2, across, 1, 0.405, 0.268, 0.170, 0.157, 1, 0.600, 0.200, 0.100, 0.100
CMG129_CA1, 3, 1, 2, 1, 2, across, 1, 0.345, 0.252, 0.218, 0.185, 0, 0.286, 0.286, 0.286, 0.143
CMG129_CA1, 3, 1, 3, 1, 1, within, 0, 0.298, 0.281, 0.215, 0.207, 0, 0.429, 0.286, 0.143, 0.143
CMG129_CA1, 3, 1, 4, 1, 2, across, 0, 0.264, 0.264, 0.256, 0.215, 1, 0.714, 0.286, 0.000, 0.000
CMG129_CA1, 3, 1, 5, 1, 1, within, 0, 0.308, 0.292, 0.208, 0.192, 0, 0.500, 0.250, 0.125, 0.125
CMG129_CA1, 3, 1, 6, 1, 2, across, 1, 0.328, 0.279, 0.205, 0.189, 0, 0.429, 0.286, 0.143, 0.143
CMG129_CA1, 3, 1, 7, 1, 1, within, 1, 0.317, 0.309, 0.203, 0.171, 0, 0.375, 0.375, 0.250, 0.000
CMG129_CA1, 3, 1, 8, 1, 2, across, 0, 0.333, 0.252, 0.211, 0.203, 0, 0.500, 0.250, 0.250, 0.000
CMG129_CA1, 3, 1, 9, 1, 1, within, 0, 0.339, 0.223, 0.223, 0.215, 1, 0.625, 0.375, 0.000, 0.000
CMG129_CA1, 3, 1, 10, 1, 2, across, 1, 0.317, 0.293, 0.244, 0.146, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 1, 11, 1, 1, within, 1, 0.317, 0.301, 0.203, 0.179, 0, 0.375, 0.375, 0.125, 0.125
CMG129_CA1, 3, 1, 12, 1, 2, across, 1, 0.336, 0.320, 0.172, 0.172, 1, 0.625, 0.125, 0.125, 0.125
CMG129_CA1, 3, 2, 3, 2, 1, across, 0, 0.314, 0.273, 0.223, 0.190, 0, 0.500, 0.250, 0.125, 0.125
CMG129_CA1, 3, 2, 4, 2, 2, within, 0, 0.306, 0.281, 0.231, 0.182, 0, 0.571, 0.286, 0.143, 0.000
CMG129_CA1, 3, 2, 5, 2, 1, across, 1, 0.314, 0.306, 0.207, 0.174, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 2, 6, 2, 2, within, 1, 0.355, 0.240, 0.240, 0.165, 1, 0.250, 0.250, 0.250, 0.250
CMG129_CA1, 3, 2, 7, 2, 1, across, 1, 0.421, 0.223, 0.223, 0.132, 0, 0.500, 0.250, 0.125, 0.125
CMG129_CA1, 3, 2, 8, 2, 2, within, 1, 0.331, 0.289, 0.207, 0.174, 1, 0.625, 0.250, 0.125, 0.000
CMG129_CA1, 3, 2, 9, 2, 1, across, 1, 0.408, 0.300, 0.167, 0.125, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 2, 10, 2, 2, within, 1, 0.322, 0.273, 0.264, 0.140, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 2, 11, 2, 1, across, 1, 0.355, 0.339, 0.182, 0.124, 1, 0.625, 0.250, 0.125, 0.000
CMG129_CA1, 3, 2, 12, 2, 2, within, 1, 0.392, 0.242, 0.225, 0.142, 0, 0.375, 0.375, 0.125, 0.125
CMG129_CA1, 3, 3, 4, 1, 2, across, 1, 0.402, 0.213, 0.213, 0.172, 0, 0.429, 0.286, 0.286, 0.000
CMG129_CA1, 3, 3, 5, 1, 1, within, 1, 0.344, 0.262, 0.213, 0.180, 0, 0.375, 0.375, 0.125, 0.125
CMG129_CA1, 3, 3, 6, 1, 2, across, 1, 0.455, 0.268, 0.187, 0.089, 0, 0.500, 0.375, 0.125, 0.000
CMG129_CA1, 3, 3, 7, 1, 1, within, 1, 0.415, 0.220, 0.195, 0.171, 0, 0.500, 0.250, 0.250, 0.000
CMG129_CA1, 3, 3, 8, 1, 2, across, 1, 0.407, 0.268, 0.171, 0.154, 1, 0.250, 0.250, 0.250, 0.250
CMG129_CA1, 3, 3, 9, 1, 1, within, 1, 0.397, 0.322, 0.190, 0.091, 0, 0.375, 0.375, 0.250, 0.000
CMG129_CA1, 3, 3, 10, 1, 2, across, 1, 0.516, 0.197, 0.197, 0.090, 0, 0.500, 0.375, 0.125, 0.000
CMG129_CA1, 3, 3, 11, 1, 1, within, 1, 0.451, 0.254, 0.180, 0.115, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 3, 12, 1, 2, across, 1, 0.339, 0.273, 0.240, 0.149, 0, 0.375, 0.375, 0.125, 0.125
CMG129_CA1, 3, 4, 5, 2, 1, across, 0, 0.320, 0.279, 0.205, 0.197, 1, 0.625, 0.250, 0.125, 0.000
CMG129_CA1, 3, 4, 6, 2, 2, within, 1, 0.377, 0.230, 0.221, 0.172, 0, 0.429, 0.429, 0.143, 0.000
CMG129_CA1, 3, 4, 7, 2, 1, across, 1, 0.410, 0.221, 0.205, 0.164, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 4, 8, 2, 2, within, 1, 0.508, 0.230, 0.172, 0.090, 0, 0.500, 0.250, 0.125, 0.125
CMG129_CA1, 3, 4, 9, 2, 1, across, 0, 0.303, 0.254, 0.230, 0.213, 0, 0.500, 0.375, 0.125, 0.000
CMG129_CA1, 3, 4, 10, 2, 2, within, 1, 0.366, 0.301, 0.195, 0.138, 0, 0.375, 0.375, 0.125, 0.125
CMG129_CA1, 3, 4, 11, 2, 1, across, 1, 0.415, 0.268, 0.171, 0.146, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 4, 12, 2, 2, within, 0, 0.311, 0.262, 0.246, 0.180, 0, 0.500, 0.250, 0.125, 0.125
CMG129_CA1, 3, 5, 6, 1, 2, across, 1, 0.369, 0.221, 0.221, 0.189, 0, 0.500, 0.375, 0.125, 0.000
CMG129_CA1, 3, 5, 7, 1, 1, within, 1, 0.336, 0.336, 0.180, 0.148, 0, 0.444, 0.444, 0.111, 0.000
CMG129_CA1, 3, 5, 8, 1, 2, across, 1, 0.352, 0.303, 0.221, 0.123, 0, 0.444, 0.333, 0.222, 0.000
CMG129_CA1, 3, 5, 9, 1, 1, within, 1, 0.339, 0.331, 0.198, 0.132, 0, 0.444, 0.333, 0.111, 0.111
CMG129_CA1, 3, 5, 10, 1, 2, across, 0, 0.287, 0.270, 0.238, 0.205, 0, 0.333, 0.222, 0.222, 0.222
CMG129_CA1, 3, 5, 11, 1, 1, within, 1, 0.369, 0.279, 0.238, 0.115, 0, 0.444, 0.333, 0.222, 0.000
CMG129_CA1, 3, 5, 12, 1, 2, across, 1, 0.339, 0.256, 0.215, 0.190, 0, 0.333, 0.333, 0.222, 0.111
CMG129_CA1, 3, 6, 7, 2, 1, across, 1, 0.419, 0.218, 0.218, 0.145, 0, 0.500, 0.250, 0.250, 0.000
CMG129_CA1, 3, 6, 8, 2, 2, within, 1, 0.387, 0.250, 0.218, 0.145, 0, 0.500, 0.375, 0.125, 0.000
CMG129_CA1, 3, 6, 9, 2, 1, across, 1, 0.336, 0.295, 0.238, 0.131, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 6, 10, 2, 2, within, 1, 0.407, 0.252, 0.211, 0.130, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 6, 11, 2, 1, across, 1, 0.382, 0.260, 0.236, 0.122, 0, 0.500, 0.250, 0.250, 0.000
CMG129_CA1, 3, 6, 12, 2, 2, within, 1, 0.434, 0.238, 0.164, 0.164, 0, 0.375, 0.250, 0.250, 0.125
CMG129_CA1, 3, 7, 8, 1, 2, across, 1, 0.392, 0.384, 0.136, 0.088, 1, 0.556, 0.333, 0.111, 0.000
CMG129_CA1, 3, 7, 9, 1, 1, within, 1, 0.377, 0.254, 0.205, 0.164, 0, 0.444, 0.333, 0.111, 0.111
CMG129_CA1, 3, 7, 10, 1, 2, across, 1, 0.323, 0.290, 0.242, 0.145, 1, 0.667, 0.111, 0.111, 0.111
CMG129_CA1, 3, 7, 11, 1, 1, within, 1, 0.371, 0.306, 0.194, 0.129, 0, 0.556, 0.222, 0.222, 0.000
CMG129_CA1, 3, 7, 12, 1, 2, across, 1, 0.333, 0.276, 0.244, 0.146, 0, 0.444, 0.333, 0.111, 0.111
CMG129_CA1, 3, 8, 9, 2, 1, across, 0, 0.336, 0.246, 0.230, 0.189, 0, 0.444, 0.222, 0.222, 0.111
CMG129_CA1, 3, 8, 10, 2, 2, within, 1, 0.460, 0.274, 0.153, 0.113, 0, 0.556, 0.222, 0.111, 0.111
CMG129_CA1, 3, 8, 11, 2, 1, across, 1, 0.460, 0.266, 0.161, 0.113, 0, 0.333, 0.333, 0.333, 0.000
CMG129_CA1, 3, 8, 12, 2, 2, within, 1, 0.333, 0.317, 0.179, 0.171, 0, 0.333, 0.333, 0.222, 0.111
CMG129_CA1, 3, 9, 10, 1, 2, across, 1, 0.431, 0.260, 0.211, 0.098, 0, 0.333, 0.222, 0.222, 0.222
CMG129_CA1, 3, 9, 11, 1, 1, within, 1, 0.341, 0.285, 0.236, 0.138, 0, 0.444, 0.333, 0.111, 0.111
CMG129_CA1, 3, 9, 12, 1, 2, across, 1, 0.415, 0.276, 0.187, 0.122, 0, 0.333, 0.333, 0.222, 0.111
CMG129_CA1, 3, 10, 11, 2, 1, across, 1, 0.368, 0.288, 0.216, 0.128, 0, 0.444, 0.333, 0.222, 0.000
CMG129_CA1, 3, 10, 12, 2, 2, within, 1, 0.508, 0.226, 0.145, 0.121, 0, 0.444, 0.333, 0.222, 0.000
CMG129_CA1, 3, 11, 12, 1, 2, across, 0, 0.306, 0.282, 0.242, 0.169, 0, 0.333, 0.333, 0.222, 0.111
CMG154_CA1, 1, 5, 9, 1, 1, within, 1, 0.352, 0.250, 0.213, 0.185, 0, 0.333, 0.282, 0.205, 0.179
CMG154_CA1, 1, 5, 11, 1, 1, within, 1, 0.589, 0.262, 0.093, 0.056, 1, 0.486, 0.324, 0.108, 0.081
CMG154_CA1, 1, 5, 12, 1, 2, across, 1, 0.475, 0.318, 0.166, 0.041, 1, 0.553, 0.184, 0.184, 0.079
CMG154_CA1, 1, 9, 11, 1, 1, within, 1, 0.308, 0.257, 0.248, 0.187, 0, 0.289, 0.289, 0.211, 0.211
CMG154_CA1, 1, 9, 12, 1, 2, across, 1, 0.301, 0.282, 0.222, 0.194, 0, 0.316, 0.263, 0.211, 0.211
CMG154_CA1, 1, 11, 12, 1, 2, across, 1, 0.679, 0.172, 0.088, 0.060, 1, 0.447, 0.289, 0.158, 0.105
CMG154_CA1, 2, 4, 7, 2, 1, across, 1, 0.375, 0.303, 0.211, 0.112, 0, 0.400, 0.320, 0.200, 0.080
CMG154_CA1, 2, 4, 8, 2, 2, within, 1, 0.296, 0.277, 0.265, 0.162, 0, 0.308, 0.269, 0.231, 0.192
CMG154_CA1, 2, 4, 9, 2, 1, across, 1, 0.355, 0.258, 0.210, 0.177, 0, 0.381, 0.238, 0.238, 0.143
CMG154_CA1, 2, 4, 10, 2, 2, within, 1, 0.369, 0.349, 0.229, 0.052, 0, 0.320, 0.280, 0.240, 0.160
CMG154_CA1, 2, 4, 11, 2, 1, across, 1, 0.298, 0.270, 0.262, 0.171, 1, 0.500, 0.208, 0.167, 0.125
CMG154_CA1, 2, 4, 12, 2, 2, within, 1, 0.386, 0.231, 0.231, 0.151, 1, 0.565, 0.174, 0.174, 0.087
CMG154_CA1, 2, 7, 8, 1, 2, across, 1, 0.429, 0.210, 0.183, 0.179, 0, 0.385, 0.231, 0.231, 0.154
CMG154_CA1, 2, 7, 9, 1, 1, within, 1, 0.344, 0.267, 0.223, 0.166, 0, 0.364, 0.273, 0.227, 0.136
CMG154_CA1, 2, 7, 10, 1, 2, across, 1, 0.514, 0.206, 0.174, 0.105, 1, 0.480, 0.360, 0.080, 0.080
CMG154_CA1, 2, 7, 11, 1, 1, within, 1, 0.316, 0.292, 0.228, 0.164, 1, 0.538, 0.231, 0.154, 0.077
CMG154_CA1, 2, 7, 12, 1, 2, across, 1, 0.378, 0.251, 0.207, 0.163, 1, 0.435, 0.304, 0.174, 0.087
CMG154_CA1, 2, 8, 9, 2, 1, across, 1, 0.335, 0.298, 0.190, 0.177, 1, 0.522, 0.348, 0.130, 0.000
CMG154_CA1, 2, 8, 10, 2, 2, within, 1, 0.514, 0.289, 0.145, 0.052, 1, 0.444, 0.259, 0.185, 0.111
CMG154_CA1, 2, 8, 11, 2, 1, across, 1, 0.365, 0.226, 0.210, 0.198, 1, 0.462, 0.346, 0.115, 0.077
CMG154_CA1, 2, 8, 12, 2, 2, within, 1, 0.409, 0.206, 0.202, 0.183, 0, 0.292, 0.292, 0.250, 0.167
CMG154_CA1, 2, 9, 10, 1, 2, across, 1, 0.339, 0.298, 0.249, 0.114, 0, 0.409, 0.227, 0.227, 0.136
CMG154_CA1, 2, 9, 11, 1, 1, within, 1, 0.331, 0.242, 0.234, 0.194, 1, 0.478, 0.391, 0.087, 0.043
CMG154_CA1, 2, 9, 12, 1, 2, across, 1, 0.313, 0.268, 0.260, 0.159, 0, 0.409, 0.227, 0.182, 0.182
CMG154_CA1, 2, 10, 11, 2, 1, across, 1, 0.365, 0.269, 0.221, 0.145, 0, 0.440, 0.200, 0.200, 0.160
CMG154_CA1, 2, 10, 12, 2, 2, within, 1, 0.440, 0.250, 0.210, 0.101, 0, 0.348, 0.304, 0.261, 0.087
CMG154_CA1, 2, 11, 12, 1, 2, across, 1, 0.312, 0.280, 0.244, 0.164, 1, 0.478, 0.348, 0.087, 0.087
CMG154_CA1, 3, 3, 4, 1, 2, across, 1, 0.304, 0.272, 0.272, 0.152, 0, 0.500, 0.167, 0.167, 0.167
CMG154_CA1, 3, 3, 5, 1, 1, within, 1, 0.347, 0.284, 0.189, 0.179, 1, 0.462, 0.385, 0.154, 0.000
CMG154_CA1, 3, 3, 6, 1, 2, across, 1, 0.326, 0.295, 0.226, 0.153, 0, 0.385, 0.308, 0.231, 0.077
CMG154_CA1, 3, 3, 7, 1, 1, within, 1, 0.319, 0.267, 0.215, 0.199, 0, 0.462, 0.308, 0.154, 0.077
CMG154_CA1, 3, 3, 8, 1, 2, across, 1, 0.339, 0.254, 0.249, 0.159, 0, 0.308, 0.308, 0.231, 0.154
CMG154_CA1, 3, 3, 9, 1, 1, within, 1, 0.351, 0.262, 0.204, 0.183, 1, 0.615, 0.154, 0.154, 0.077
CMG154_CA1, 3, 4, 5, 2, 1, across, 1, 0.340, 0.246, 0.236, 0.178, 0, 0.429, 0.214, 0.214, 0.143
CMG154_CA1, 3, 4, 6, 2, 2, within, 0, 0.289, 0.274, 0.232, 0.205, 0, 0.429, 0.214, 0.214, 0.143
CMG154_CA1, 3, 4, 7, 2, 1, across, 0, 0.301, 0.244, 0.238, 0.218, 0, 0.500, 0.214, 0.143, 0.143
CMG154_CA1, 3, 4, 8, 2, 2, within, 1, 0.363, 0.247, 0.205, 0.184, 0, 0.308, 0.308, 0.231, 0.154
CMG154_CA1, 3, 4, 9, 2, 1, across, 1, 0.328, 0.240, 0.240, 0.193, 1, 0.571, 0.143, 0.143, 0.143
CMG154_CA1, 3, 5, 6, 1, 2, across, 1, 0.353, 0.237, 0.211, 0.200, 0, 0.375, 0.312, 0.250, 0.062
CMG154_CA1, 3, 5, 7, 1, 1, within, 0, 0.302, 0.250, 0.224, 0.224, 1, 0.500, 0.375, 0.062, 0.062
CMG154_CA1, 3, 5, 8, 1, 2, across, 1, 0.332, 0.311, 0.189, 0.168, 0, 0.429, 0.357, 0.143, 0.071
CMG154_CA1, 3, 5, 9, 1, 1, within, 0, 0.286, 0.281, 0.234, 0.198, 0, 0.438, 0.312, 0.188, 0.062
CMG154_CA1, 3, 6, 7, 2, 1, across, 0, 0.272, 0.262, 0.241, 0.225, 0, 0.312, 0.250, 0.250, 0.188
CMG154_CA1, 3, 6, 8, 2, 2, within, 1, 0.386, 0.259, 0.201, 0.153, 0, 0.429, 0.286, 0.214, 0.071
CMG154_CA1, 3, 6, 9, 2, 1, across, 0, 0.293, 0.251, 0.236, 0.220, 0, 0.294, 0.235, 0.235, 0.235
CMG154_CA1, 3, 7, 8, 1, 2, across, 1, 0.361, 0.251, 0.204, 0.183, 1, 0.643, 0.143, 0.143, 0.071
CMG154_CA1, 3, 7, 9, 1, 1, within, 1, 0.352, 0.285, 0.223, 0.140, 1, 0.812, 0.125, 0.062, 0.000
CMG154_CA1, 3, 8, 9, 2, 1, across, 0, 0.316, 0.242, 0.226, 0.216, 0, 0.286, 0.286, 0.214, 0.214
CMG161_CA1, 1, 5, 6, 1, 2, across, 1, 0.441, 0.265, 0.235, 0.059, 0, 0.500, 0.250, 0.250, 0.000
CMG161_CA1, 1, 5, 7, 1, 1, within, 1, 0.353, 0.294, 0.294, 0.059, 0, 0.500, 0.500, 0.000, 0.000
CMG161_CA1, 1, 5, 8, 1, 2, across, 0, 0.324, 0.294, 0.265, 0.118, 0, 0.500, 0.250, 0.250, 0.000
CMG161_CA1, 1, 5, 9, 1, 1, within, 1, 0.500, 0.235, 0.147, 0.118, 0, 0.500, 0.250, 0.250, 0.000
CMG161_CA1, 1, 5, 10, 1, 2, across, 0, 0.324, 0.265, 0.265, 0.147, 0, 0.500, 0.250, 0.250, 0.000
CMG161_CA1, 1, 5, 11, 1, 1, within, 0, 0.382, 0.265, 0.235, 0.118, 0, 0.500, 0.250, 0.250, 0.000
CMG161_CA1, 1, 5, 12, 1, 2, across, 0, 0.353, 0.294, 0.176, 0.176, 1, 0.750, 0.250, 0.000, 0.000
CMG161_CA1, 1, 6, 7, 2, 1, across, 0, 0.353, 0.235, 0.206, 0.206, 1, 0.250, 0.250, 0.250, 0.250
CMG161_CA1, 1, 6, 8, 2, 2, within, 0, 0.412, 0.235, 0.176, 0.176, 1, 0.750, 0.250, 0.000, 0.000
CMG161_CA1, 1, 6, 9, 2, 1, across, 0, 0.324, 0.294, 0.206, 0.176, 0, 0.500, 0.500, 0.000, 0.000
CMG161_CA1, 1, 6, 10, 2, 2, within, 1, 0.412, 0.294, 0.206, 0.088, 1, 0.750, 0.250, 0.000, 0.000
